Driver_Code,Average_Lap_Time_Seconds,Best_Lap_Time_Seconds,Lap_Time_Std,Average_Sector1_Seconds,Average_Sector2_Seconds,Average_Sector3_Seconds,Team_Code,Total_Sector_Time_Seconds
ALB,85.66938235294117,83.93,3.2209129512739,30.975514705882354,30.61348529411765,24.080382352941175,WIL,85.66938235294117
ALO,85.10975362318841,83.063,3.1210804426644083,30.736681159420293,30.432275362318844,23.940797101449274,AST,85.10975362318841
GAS,86.27053125,83.34,3.000312478181877,30.90409375,31.002875,24.3635625,ALP,86.27053125
HAM,84.15402898550724,82.153,3.046081146668396,30.594739130434778,29.853101449275364,23.706188405797104,FER,84.15402898550725
HUL,85.57723529411766,83.461,3.149899847342445,30.810676470588238,30.62472058823529,24.141838235294117,SAU,85.57723529411764
LEC,84.20952173913044,82.182,3.1618652332439674,30.520710144927538,29.811188405797104,23.8776231884058,FER,84.20952173913045
NOR,83.98175362318841,81.712,3.0754067517006245,30.611202898550722,29.68114492753623,23.68940579710145,MCL,83.98175362318841
OCO,85.97804411764706,81.61,3.704392360322893,31.03785294117647,30.662279411764704,24.27791176470588,HAA,85.97804411764706
PIA,83.98902898550725,81.716,3.286337519681312,30.520782608695654,29.768000000000004,23.700246376811595,MCL,83.98902898550725
RUS,84.4556811594203,80.305,3.070137784284731,30.578304347826084,30.01746376811594,23.85991304347826,MERC,84.45568115942028
SAI,84.24195652173913,81.441,3.186460956069045,30.60317391304348,29.88195652173913,23.756826086956522,WIL,84.24195652173913
STR,85.03108695652175,82.338,3.431760582880125,30.621695652173912,30.413811594202897,23.995579710144927,AST,85.03108695652173
TSU,84.98843478260869,83.533,2.240820073611845,30.574550724637678,30.46785507246377,23.946028985507247,RBR,84.98843478260869
VER,84.27539130434783,80.908,3.1133655480533644,30.551028985507248,29.996927536231883,23.727434782608697,RBR,84.27539130434783
